order_id,date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,b2b,fulfilled_by
407-0578484-1158749,2022-04-14,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-S,Set,S,B09NQ4CZ65,Shipped,1,INR,597.0,RAMGARH,JHARKHAND,829124.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,
171-3497131-2577164,2022-04-14,Cancelled,Amazon,Amazon.in,Expedited,JNE3291,JNE3291-KR-XXL,kurta,XXL,B07R41RZV7,Unshipped,1,INR,442.0,Malapuram,KERALA,679573.0,IN,,False,
405-8031394-3059531,2022-04-23,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET131,SET131-KR-NP-L,Set,L,B07VQ7QX6T,Shipped,1,INR,666.0,Mumbai,MAHARASHTRA,400043.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
404-4610268-7903512,2022-04-17,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-XL,Set,XL,B09RPQV7SV,Shipped,1,INR,1115.0,MATHURA,UTTAR PRADESH,281004.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,
403-6843153-8749968,2022-04-17,Shipped,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-L,kurta,L,B082W8354V,Shipped,1,INR,435.0,CHENNAI,TAMIL NADU,600096.0,IN,,False,
402-6108460-4633967,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,J0334,J0334-TP-M,Top,M,B0986ZWRKD,Shipped,1,INR,512.0,NEW DELHI,DELHI,110063.0,IN,,False,
404-4165526-3837141,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,SET278,SET278-KR-NP-L,Set,L,B0983FZD5K,Unshipped,1,INR,1432.0,HYDERABAD,TELANGANA,500090.0,IN,,False,
402-8517069-2093907,2022-04-14,Shipped,Amazon,Amazon.in,Expedited,JNE2199,JNE2199-KR-411-A-XS,kurta,XS,B07FY1DW7V,Shipped,1,INR,353.0,BHUBANESWAR,ODISHA,751014.0,IN,,False,
405-5207725-9445935,2022-04-24,Shipped,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-M,Set,M,B0894XYMWS,Shipped,1,INR,1140.0,MUMBAI,MAHARASHTRA,400015.0,IN,,False,
406-2107631-1792322,2022-04-14,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0236,J0236-SKD-XXL,Set,XXL,B08ZYQ716N,Shipped,1,INR,922.0,MUMBAI,MAHARASHTRA,400043.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-LMLYJV5SYVNDA,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
